contour No.1
93415.835732659165,111016.57252961055
93403.782913632807,111018.94681739698
93396.889042854484,111021.04179079657
93378.887008784339,111023.36173609598
93372.296868164325,111024.7561743011
93370.578367515933,111025.02617427304
93352.558592120142,111028.41369842779
93279.017070658534,111052.57562040411
93279.357289967418,111049.76283872341
93279.349975320452,111047.23073734507
93160.855792075861,111072.30561846505
93097.892932805422,111079.95683650453
93096.295168553072,111072.87011192479
92990.826594637198,111080.40583648586
92862.993848978687,111102.77629096141
92850.325438493732,111100.23784809692
92836.186975779114,111082.39415100979
92820.464006734022,111088.56342683728
92820.354190640137,111088.55155633419
92819.992686195925,111088.69907663336
92787.461904840879,111089.70129378904
92439.492190000004,111071.60159999999
contour No.2
92901.374924098651,110711.23808742232
92912.289220320017,110718.28767383841
92928.214043144297,110712.70798654982
92933.249546245934,110714.26761517473
92999.696376435939,110712.4152338799
93087.099839905335,110699.16144173346
93093.771762658536,110706.03964058009
93101.56705299372,110712.05914201183
93111.448470239673,110707.10751264516
93123.798776868716,110705.08339703461
93129.897520383805,110707.84695723561
93138.158334995533,110705.42887247315
93158.917770660642,110715.14680419372
93160.268518436482,110715.876571969
93160.775049830321,110715.66954089701
93174.752204617267,110716.07722973946
93177.412996558647,110716.14571307375
93245.33319396188,110715.0508885609
93248.259238519066,110716.4674521534
93259.96962450663,110715.56173356918
93263.831282534535,110717.36740524197
93282.051517741624,110720.04375441637
93283.06011884613,110720.48034501373
93287.261165342512,110722.35904147997
93294.35953490455,110726.65927850283
93296.799002598113,110726.95404800707
93305.460450758896,110730.52834617111
93319.026251438612,110736.21119498156
93331.24948614226,110739.2339463869
93333.499520811165,110738.57447189053
93342.888180933878,110737.47378869621
93368.334458733822,110738.27324131993
93370.587518082073,110742.30022095717
93373.95425634821,110746.09264303854
93381.189280694249,110759.44327949145
93382.811015021449,110760.10894153517
93399.863739879831,110776.36641668482
93405.170202521142,110782.26639560472
93414.541390169295,110794.37432469538
93419.932122625469,110800.10213574546
